date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:44	41953/41953	---M-Z	200	added ('OK')	application/javascript	etag:W/%22572c9668-a3e1%22	http://cdn.jsdelivr.net/jquery.slick/1.6.0/slick.min.js	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/cdn.jsdelivr.net/jquery.slick/1.6.0/slick.min.js	(from http://coffee.bitnet.si/Web/)
21:49:45	37074/37074	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Apr%202017%2013:27:10%20GMT	http://coffee.bitnet.si/Web/Resources/arrow_prev.png	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/arrow_prev.png	(from http://coffee.bitnet.si/Web/)
21:49:45	36582/36582	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Apr%202017%2013:26:02%20GMT	http://coffee.bitnet.si/Web/Resources/arrow_next.png	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/arrow_next.png	(from http://coffee.bitnet.si/Web/)
21:49:45	33830/33830	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Apr%202017%2015:05:16%20GMT	http://coffee.bitnet.si/Web/Resources/blue_separator.png	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/blue_separator.png	(from http://coffee.bitnet.si/Web/)
21:49:45	165146/165146	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Apr%202017%2015:44:18%20GMT	http://coffee.bitnet.si/Web/Resources/carousel_kava.png	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/carousel_kava.png	(from http://coffee.bitnet.si/Web/)
21:49:47	23117/23117	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Apr%202017%2020:19:44%20GMT	http://coffee.bitnet.si/Web/Resources/rotate_btn.png	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/rotate_btn.png	(from http://coffee.bitnet.si/Web/)
21:49:47	184038/184038	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Apr%202017%2012:17:52%20GMT	http://coffee.bitnet.si/Web/Resources/carousel_sladoled.png	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/carousel_sladoled.png	(from http://coffee.bitnet.si/Web/)
21:49:48	43800/43800	---M--	200	added ('OK')	application/x-font-otf	date:Sun,%2009%20Oct%202005%2000:38:30%20GMT	http://coffee.bitnet.si/Web/Resources/HelveticaNeueLTPro-Lt.otf	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/HelveticaNeueLTPro-Lt.otf	(from http://coffee.bitnet.si/Web/Resources/landing_styles.css?121)
21:49:48	356/356	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Apr%202017%2019:49:43%20GMT	http://coffee.bitnet.si/Web/Resources/HelveticaNeueLTPro-Th.ttf	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/HelveticaNeueLTPro-Th.ttf	(from http://coffee.bitnet.si/Web/Resources/landing_styles.css?121)
21:49:48	49072/49072	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2010%20Apr%202017%2018:29:16%20GMT	http://coffee.bitnet.si/Web/Resources/HelveticaNeueLTPro-Lt.ttf	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/HelveticaNeueLTPro-Lt.ttf	(from http://coffee.bitnet.si/Web/Resources/landing_styles.css?121)
